,level_0,level_1,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
3474,BCAL,Net Profit Margin,,,0.1653,0.1844,0.1678,0.1708,0.0871,0.1496,0.1644,0.2042,
3475,BCAL,Interest Coverage Ratio,,,58.1015,190.8374,13.7001,0.3489,0.46,0.5247,3.2089,0.1544,
3476,BCAL,Income Before Tax Profit Margin,,,0.2784,0.3241,0.2404,0.2442,0.1249,0.1982,0.2243,0.2904,
3477,BCAL,Effective Tax Rate,,,0.4065,0.4311,0.3019,0.3005,0.3023,0.2451,0.267,0.297,
3478,BCAL,Return on Assets,,,,0.0088,0.0084,0.0085,0.0039,0.0056,0.0071,0.0111,
3479,BCAL,Return on Equity,,,,0.0841,0.0696,0.0611,0.0326,0.0516,0.0636,0.0945,
3480,BCAL,Return on Invested Capital,,,,0.0694,0.051,0.0464,0.0177,0.0328,0.0524,0.0698,
3481,BCAL,Return on Capital Employed,,,0.0209,0.0243,0.0144,0.0289,0.0133,0.0162,0.0201,0.0398,
3482,BCAL,Return on Tangible Assets,,,,0.0046,0.0045,0.0045,0.0021,0.0029,0.0037,0.0059,
3483,BCAL,Income Quality Ratio,,,1.3126,0.9402,1.413,1.2365,2.6172,1.8351,1.2695,1.1754,
3484,BCAL,Net Income per EBT,,,0.5935,0.5689,0.6981,0.6995,0.6977,0.7549,0.733,0.703,
3485,BCAL,Free Cash Flow to Operating Cash Flow Ratio,,,-0.0888,0.8136,0.912,0.6754,0.857,0.3626,0.9472,0.9901,
3486,BCAL,EBT to EBIT Ratio,,,0.9984,0.9997,0.9864,0.5859,0.5355,0.8084,0.9483,0.936,
3487,BCAL,EBIT to Revenue,,,0.2789,0.3242,0.2437,0.4168,0.2332,0.2452,0.2365,0.3103,
3488,BCBP,Gross Margin,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
3489,BCBP,Operating Margin,0.2347,0.1955,0.2167,0.2914,0.6032,0.3448,0.3324,0.4565,0.6976,0.8991,
3490,BCBP,Net Profit Margin,0.141,0.1161,0.1308,0.1439,0.1957,0.239,0.2356,0.3239,0.3945,0.1532,
3491,BCBP,Interest Coverage Ratio,1.2933,0.9764,0.9625,1.4493,1.9874,0.8132,0.9838,3.3797,4.7383,6.3439,
3492,BCBP,Income Before Tax Profit Margin,0.2347,0.1955,0.2167,0.2914,0.2831,0.3448,0.3324,0.4565,0.5462,0.2154,
3493,BCBP,Effective Tax Rate,0.3994,0.4065,0.3965,0.5062,0.3086,0.3068,0.2911,0.2905,0.2778,0.2888,
3494,BCBP,Return on Assets,,0.0048,0.0048,0.0055,0.0073,0.0075,0.0073,0.0118,0.014,0.008,
3495,BCBP,Return on Equity,,0.0596,0.0605,0.0649,0.089,0.0957,0.0854,0.1309,0.1613,0.0974,
3496,BCBP,Return on Invested Capital,,0.0412,0.0462,0.0507,0.0616,0.0611,0.0609,0.1014,0.1013,0.052,
3497,BCBP,Return on Capital Employed,0.018,0.0159,0.0175,0.0484,0.0506,0.0246,0.0222,0.0215,0.0229,0.0594,
3498,BCBP,Return on Tangible Assets,,0.0025,0.0025,0.0029,0.0038,0.005,0.0066,0.0111,0.0092,0.0042,
3499,BCBP,Income Quality Ratio,0.5924,1.0937,0.9048,2.1072,2.3879,1.1537,6.681,1.3403,0.8971,1.2126,
3500,BCBP,Net Income per EBT,0.6006,0.5935,0.6035,0.4938,0.6914,0.6932,0.7089,0.7095,0.7222,0.7112,
3501,BCBP,Free Cash Flow to Operating Cash Flow Ratio,0.6112,0.5343,0.1608,0.9093,0.9609,0.8964,0.99,0.9929,0.9873,0.8734,
3502,BCBP,EBT to EBIT Ratio,0.5508,0.4606,0.4487,0.563,0.4693,0.4256,0.4712,0.7607,0.7829,0.6003,
3503,BCBP,EBIT to Revenue,0.4261,0.4245,0.4831,0.5175,0.6032,0.8102,0.7054,0.6001,0.6976,0.3589,
3504,BCC,Gross Margin,0.1422,0.1321,0.1311,0.1382,0.1377,0.1459,0.1715,0.2051,0.2283,0.209,
3505,BCC,Operating Margin,0.0407,0.0284,0.0203,0.0318,0.0144,0.0294,0.0612,0.1226,0.138,0.0913,
3506,BCC,Net Profit Margin,0.0224,0.0144,0.0098,0.0187,0.0041,0.0174,0.032,0.0899,0.1023,0.0707,
3507,BCC,Interest Coverage Ratio,9.0073,7.1181,5.7105,8.732,8.3562,8.3145,15.8334,42.4315,49.5609,29.6852,
3508,BCC,Income Before Tax Profit Margin,0.0345,0.0222,0.0111,0.0265,0.0044,0.0233,0.0523,0.1197,0.1367,0.0943,
3509,BCC,Effective Tax Rate,0.3511,0.3532,0.1166,0.2945,0.0735,0.2523,0.3888,0.2491,0.2519,0.2502,
3510,BCC,Return on Assets,,0.0423,0.0285,0.0545,0.0128,0.0494,0.0956,0.314,0.2951,0.1444,
3511,BCC,Return on Equity,,0.1016,0.0686,0.1322,0.0304,0.1178,0.2255,0.6467,0.5029,0.2274,
3512,BCC,Return on Invested Capital,,0.0624,0.0403,0.0804,0.0639,0.1155,0.1951,0.5671,0.4556,0.3129,
3513,BCC,Return on Capital Employed,0.1506,0.1043,0.0621,0.1166,0.0399,0.1026,0.2168,0.504,0.4349,0.2341,
3514,BCC,Return on Tangible Assets,,0.0265,0.0178,0.0341,0.0081,0.0311,0.0603,0.2064,0.2044,0.1019,
3515,BCC,Income Quality Ratio,1.2729,1.5394,3.971,1.8271,7.99,3.0355,1.6832,0.9361,1.214,1.4214,
3516,BCC,Net Income per EBT,0.6489,0.6468,0.8834,0.7055,0.9265,0.7477,0.6112,0.7509,0.7481,0.7498,
3517,BCC,Free Cash Flow to Operating Cash Flow Ratio,0.3989,-0.0896,0.4498,0.5022,0.5111,0.6633,0.7303,0.8403,0.8904,0.6866,
3518,BCC,EBT to EBIT Ratio,0.8483,0.7817,0.6186,0.8225,0.4576,0.806,0.9161,0.9745,0.9783,0.962,
3519,BCC,EBIT to Revenue,0.0407,0.0284,0.0179,0.0323,0.0097,0.0289,0.0571,0.1228,0.1397,0.0981,
3520,BCO,Gross Margin,0.1724,0.1927,0.1972,0.2207,0.2252,0.2311,0.2204,0.2296,0.2367,0.2395,
3521,BCO,Operating Margin,-0.0077,0.0185,0.0477,0.0818,0.0787,0.0643,0.0578,0.0844,0.0773,0.1013,
3522,BCO,Net Profit Margin,-0.0236,-0.0039,0.0114,0.005,-0.0095,0.0079,0.0062,0.025,0.0376,0.018,
3523,BCO,Interest Coverage Ratio,5.7436,10.3968,13.5196,12.4408,6.5517,4.5998,4.3554,5.2959,4.2983,3.3748,
3524,BCO,Income Before Tax Profit Margin,-0.0138,0.0134,0.0414,0.0542,0.0122,0.0254,0.0215,0.0561,0.0499,0.0484,
3525,BCO,Effective Tax Rate,-0.749,1.618,0.628,0.8689,1.6471,0.6524,0.7137,0.5108,0.183,0.5903,
3526,BCO,Return on Assets,,-0.0058,0.0175,0.0066,-0.0106,0.0083,0.0051,0.0197,0.0286,0.0135,
3527,BCO,Return on Equity,,-0.0296,0.1007,0.0468,-0.1237,0.144,0.0909,0.3196,0.3172,0.1445,
3528,BCO,Return on Invested Capital,,0.0089,0.0697,0.0371,-0.0017,0.0308,0.0206,0.043,0.0525,0.0291,
3529,BCO,Return on Capital Employed,-0.0163,0.0563,0.1075,0.0869,0.0404,0.0616,0.0424,0.0754,0.0695,0.0977,
3530,BCO,Return on Tangible Assets,,-0.0032,0.0095,0.0035,-0.0054,0.0041,0.0025,0.0096,0.0142,0.0068,
3531,BCO,Income Quality Ratio,-1.2308,-7.4043,3.7388,10.6822,-13.24,11.1024,14.5068,4.075,2.6383,8.1674,
3532,BCO,Net Income per EBT,1.7775,-0.2179,0.3053,0.0958,-0.9074,0.3222,0.2863,0.4665,0.8047,0.3865,
3533,BCO,Free Cash Flow to Operating Cash Flow Ratio,0.0368,0.5158,0.3301,0.3078,0.574,0.5529,0.627,0.6487,0.6195,0.7114,
3534,BCO,EBT to EBIT Ratio,1.9832,0.7429,0.8471,0.8377,0.3549,0.4953,0.4511,0.6678,0.6043,0.4987,
3535,BCO,EBIT to Revenue,-0.0067,0.024,0.0442,0.0622,0.0296,0.0493,0.0476,0.0804,0.0773,0.0933,
3536,BCPC,Gross Margin,0.2663,0.3043,0.3269,0.3178,0.3173,0.3284,0.3182,0.3043,0.2976,0.3275,
3537,BCPC,Operating Margin,0.1517,0.1701,0.1642,0.1635,0.1674,0.1593,0.158,0.1596,0.1541,0.1931,
3538,BCPC,Net Profit Margin,0.0976,0.1081,0.1012,0.1514,0.1221,0.1238,0.1203,0.1203,0.1118,0.1177,
3539,BCPC,Interest Coverage Ratio,21.8983,20.3125,18.7906,18.7116,19.9365,24.8587,36.0779,70.5456,19.1362,9.7974,
3540,BCPC,Income Before Tax Profit Margin,0.1423,0.1576,0.1499,0.1488,0.1538,0.1499,0.1512,0.1567,0.1419,0.1488,
3541,BCPC,Effective Tax Rate,0.3144,0.314,0.3251,-0.0179,0.2066,0.1742,0.2048,0.2326,0.2122,0.2092,
3542,BCPC,Return on Assets,,0.0685,0.0612,0.0942,0.0808,0.0746,0.0729,0.0813,0.0746,0.0668,
3543,BCPC,Return on Equity,,0.1396,0.1137,0.1583,0.1201,0.111,0.1077,0.1127,0.1161,0.109,
3544,BCPC,Return on Invested Capital,,0.0929,0.0854,0.1248,0.1093,0.1031,0.1021,0.1161,0.1066,0.0951,
3545,BCPC,Return on Capital Employed,0.1073,0.1171,0.1064,0.1123,0.1186,0.0963,0.1035,0.121,0.097,0.109,
3546,BCPC,Return on Tangible Assets,,0.0408,0.0379,0.0608,0.0558,0.0516,0.0507,0.0593,0.0509,0.0442,
3547,BCPC,Income Quality Ratio,1.6157,1.7385,1.9226,1.2281,1.5107,1.5622,1.7784,1.6702,1.3148,1.693,
3548,BCPC,Net Income per EBT,0.6856,0.686,0.6749,1.0179,0.7934,0.8258,0.7952,0.7674,0.7878,0.7908,
3549,BCPC,Free Cash Flow to Operating Cash Flow Ratio,0.8434,0.5925,0.777,0.746,0.8338,0.7717,0.7752,0.7667,0.637,0.7938,
3550,BCPC,EBT to EBIT Ratio,0.9374,0.9296,0.9195,0.9214,0.9286,0.9418,0.96,0.9808,0.9287,0.8526,
3551,BCPC,EBIT to Revenue,0.1518,0.1695,0.163,0.1615,0.1657,0.1591,0.1575,0.1598,0.1528,0.1745,
3552,BCRX,Gross Margin,0.991,0.9607,0.8976,0.9324,0.9772,0.916,0.9059,0.9538,0.9757,0.9809,
3553,BCRX,Operating Margin,-3.3635,-0.8174,-1.8445,-2.2795,-4.562,-2.0366,-9.8112,-1.1308,-0.5481,-0.3129,
3554,BCRX,Net Profit Margin,-3.3208,-0.8915,-2.0925,-2.6118,-4.9025,-2.4586,-11.0357,-1.1711,-0.9125,-0.6836,
3555,BCRX,Interest Coverage Ratio,-9.1224,-7.5508,-7.4185,-6.6208,-10.1842,-8.3023,-11.9998,-2.9842,-1.4834,-0.9429,
3556,BCRX,Income Before Tax Profit Margin,-3.3208,-0.8915,-2.0925,-2.6118,-4.9025,-2.2299,-10.2635,-1.1568,-0.9024,-0.6826,
3557,BCRX,Effective Tax Rate,-0.1067,-0.1167,-0.1089,-0.1195,-0.0212,-0.1026,-0.0752,-0.0124,-0.0112,-0.0014,
3558,BCRX,Return on Assets,,-0.3291,-0.5144,-0.4907,-0.6229,-0.7455,-0.7709,-0.3989,-0.4342,-0.4246,
3559,BCRX,Return on Equity,,0.0879,0.1024,0.1098,0.1485,0.1527,0.2109,0.165,0.1857,0.2372,
3560,BCRX,Return on Invested Capital,,0.0939,0.1113,0.1208,0.1624,0.1684,0.2376,0.2433,0.3723,1.4159,
3561,BCRX,Return on Capital Employed,-0.4467,-0.5457,-1.2019,-0.4772,-1.1625,-1.1695,-0.7348,-0.2529,-0.3269,-0.3215,
3562,BCRX,Return on Tangible Assets,,-0.2154,-0.2906,-0.2918,-0.3915,-0.4313,-0.3927,-0.1867,-0.1846,-0.1571,
3563,BCRX,Income Quality Ratio,0.8531,0.3049,0.9691,0.6254,0.9142,0.8226,0.7506,0.7723,0.655,0.42,
3564,BCRX,Net Income per EBT,1.1194,1.1321,1.1222,1.1357,1.0216,1.1026,1.0752,1.0124,1.0112,1.0014,
3565,BCRX,Free Cash Flow to Operating Cash Flow Ratio,1.0027,1.3905,1.0987,1.008,1.004,1.0038,1.0037,1.0168,1.0083,1.0228,
3566,BCRX,EBT to EBIT Ratio,1.1413,1.1585,1.1521,1.1735,1.102,1.1226,1.0862,1.484,1.682,1.9174,
3567,BCRX,EBIT to Revenue,-2.5992,-0.6797,-1.6185,-1.9597,-4.3544,-1.9864,-9.4494,-0.7795,-0.5365,-0.356,
3568,BDC,Gross Margin,0.355,0.3976,0.4163,0.391,0.39,0.3723,0.3561,0.3548,0.3515,0.3647,
3569,BDC,Operating Margin,0.0707,0.0609,0.095,0.0983,0.1181,0.0972,0.0673,0.1231,0.1394,0.1315,
3570,BDC,Net Profit Margin,0.0323,0.0287,0.0543,0.039,0.0622,0.0516,0.0292,0.0265,0.0977,0.0966,
3571,BDC,Interest Coverage Ratio,3.229,2.8912,3.8869,4.6362,6.8023,5.7824,3.9758,5.9437,10.3726,12.781,
3572,BDC,Income Before Tax Profit Margin,0.0353,0.0173,0.0537,0.0416,0.0852,0.0715,0.0355,0.0364,0.1218,0.1138,
3573,BDC,Effective Tax Rate,0.0872,-0.6652,-0.0094,0.0654,0.2706,0.279,0.1773,0.2875,0.1564,0.1512,
3574,BDC,Return on Assets,,0.0201,0.0359,0.0244,0.0423,0.0306,0.0166,0.0195,0.0774,0.0758,
3575,BDC,Return on Equity,,0.0811,0.1119,0.0644,0.114,0.0934,0.0632,0.0746,0.2425,0.2102,
3576,BDC,Return on Invested Capital,,0.0289,0.0509,0.045,0.0698,0.0543,0.0262,0.03,0.1084,0.1036,
3577,BDC,Return on Capital Employed,0.0598,0.0507,0.0686,0.0578,0.0921,0.0776,0.0477,0.0562,0.1379,0.1226,
3578,BDC,Return on Tangible Assets,,0.0105,0.0194,0.0138,0.0239,0.0171,0.0091,0.0107,0.0439,0.0441,
3579,BDC,Income Quality Ratio,2.6062,3.5722,2.4661,2.7495,1.7996,-0.7349,-3.1488,4.2299,1.1039,1.3167,
3580,BDC,Net Income per EBT,0.9128,1.6703,1.0093,0.9349,0.7296,0.721,0.8227,0.7172,0.8369,0.8489,
3581,BDC,Free Cash Flow to Operating Cash Flow Ratio,0.7657,0.7675,0.8285,0.7483,0.6617,0.6027,0.4796,0.6522,0.6264,0.6348,
3582,BDC,EBT to EBIT Ratio,0.4982,0.2826,0.5716,0.546,0.7818,0.732,0.529,0.5871,0.8748,0.8948,
3583,BDC,EBIT to Revenue,0.0709,0.0607,0.0941,0.0764,0.1091,0.0977,0.0671,0.063,0.1335,0.1272,
3584,BDN,Gross Margin,0.6047,0.6049,0.6014,0.6042,0.5995,0.6109,0.6159,0.6132,0.6159,0.2107,
3585,BDN,Operating Margin,0.2105,0.0563,0.1127,0.1989,0.0965,0.1978,0.1708,0.1479,0.2366,0.138,
3586,BDN,Net Profit Margin,0.0117,-0.0504,0.0765,0.2322,0.2504,0.059,0.5712,0.0252,0.1064,-0.4113,
3587,BDN,Interest Coverage Ratio,2.5588,2.1709,5.5056,6.1365,5.8795,7.1498,6.973,7.4829,7.3359,4.8069,
3588,BDN,Income Before Tax Profit Margin,0.0101,-0.051,0.0771,0.2329,0.253,0.0595,0.5742,0.0255,0.1068,-0.4112,
3589,BDN,Effective Tax Rate,23.2928,-4.6371,2.3923,-0.0052,0.0031,0.0003,-0.0007,0.0038,0.001,-0.0004,
3590,BDN,Return on Assets,,-0.0065,0.0093,0.0299,0.0282,0.007,0.0766,0.0032,0.0139,-0.0519,
3591,BDN,Return on Equity,,-0.0148,0.021,0.0648,0.0757,0.0199,0.1749,0.007,0.0323,-0.1335,
3592,BDN,Return on Invested Capital,,0.0188,0.0381,0.0618,0.0704,0.0441,0.1162,0.0394,0.0513,-0.0205,
3593,BDN,Return on Capital Employed,0.0595,0.052,0.0572,0.0536,0.0404,0.0297,0.1018,0.0207,0.035,-0.0274,
3594,BDN,Return on Tangible Assets,,-0.0041,0.0059,0.0192,0.0171,0.0042,0.0482,0.002,0.0088,-0.032,
3595,BDN,Income Quality Ratio,27.2254,-6.3467,4.2523,1.4937,1.656,6.7836,0.7347,15.4354,3.8766,-0.8982,
3596,BDN,Net Income per EBT,0.0474,-0.2711,0.2932,1.0052,0.9969,0.9996,1.0007,0.9962,0.999,1.0004,
3597,BDN,Free Cash Flow to Operating Cash Flow Ratio,-0.2536,-0.6717,-0.4777,0.109,0.0649,0.1534,0.2903,0.2921,-0.2566,0.1174,
3598,BDN,EBT to EBIT Ratio,0.53,0.4905,0.6088,0.5878,0.6289,0.296,0.8051,0.1646,0.4285,2.0243,
3599,BDN,EBIT to Revenue,0.4655,0.3794,0.4285,0.393,0.3995,0.1995,0.709,0.154,0.2484,-0.2031,
3600,BDTX,Gross Margin,,,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,
3601,BDTX,Operating Margin,,,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,
3602,BDTX,Net Profit Margin,,,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,
3603,BDTX,Interest Coverage Ratio,,,,-63.0,-inf,-inf,-68970.0,-inf,22.9189,-inf,
3604,BDTX,Income Before Tax Profit Margin,,,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,
3605,BDTX,Effective Tax Rate,,,,-0.0128,0.003,-0.1669,0.0264,0.0191,0.0495,-0.0,
3606,BDTX,Return on Assets,,,,,-0.2985,-0.3916,-0.2684,-0.4268,-0.4185,-0.5237,
3607,BDTX,Return on Equity,,,,,0.804,1.2372,0.774,0.6806,0.292,0.7555,
3608,BDTX,Return on Invested Capital,,,,,-0.3502,-0.4223,-3.2642,0.7585,0.3237,1.0004,
3609,BDTX,Return on Capital Employed,,,,-0.7733,-0.1819,-0.2298,-0.2132,-0.5606,-0.6584,-0.5934,
3610,BDTX,Return on Tangible Assets,,,,,-0.1259,-0.1691,-0.1821,-0.2259,-0.1806,-0.4151,
3611,BDTX,Income Quality Ratio,,,,0.5109,0.9466,0.6998,0.7754,0.7974,0.9332,0.8093,
3612,BDTX,Net Income per EBT,,,,1.013,0.997,1.1669,0.9736,0.9809,0.9505,1.0,
3613,BDTX,Free Cash Flow to Operating Cash Flow Ratio,,,,1.0328,1.009,1.0009,1.0027,1.0271,1.0023,1.0005,
3614,BDTX,EBT to EBIT Ratio,,,,1.0145,1.0,1.0,1.0,1.0,0.9579,1.0,
3615,BDTX,EBIT to Revenue,,,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,
3616,BE,Gross Margin,-0.4579,-1.0106,-0.4963,-0.048,0.1578,0.1243,0.2087,0.2032,0.1237,0.1483,
3617,BE,Operating Margin,-0.9415,-1.7381,-1.1556,-0.4183,-0.2073,-0.2965,-0.1017,-0.1178,-0.2177,-0.1567,
3618,BE,Net Profit Margin,-0.877,-1.9724,-1.341,-0.6984,-0.3258,-0.412,-0.2255,-0.1989,-0.2628,-0.2266,
3619,BE,Interest Coverage Ratio,-inf,-inf,-2.4373,-1.0235,-1.1648,-1.6365,-0.2942,-0.7438,-3.7273,-1.3509,
3620,BE,Income Before Tax Profit Margin,-1.0535,-1.9953,-1.6092,-0.7464,-0.3476,-0.4112,-0.2252,-0.1978,-0.2618,-0.2295,
3621,BE,Effective Tax Rate,-0.0022,-0.002,-0.0022,-0.0023,-0.006,-0.002,-0.0014,-0.0054,-0.0035,-0.0062,
3622,BE,Return on Assets,,-0.3644,-0.2603,-0.2166,-0.1852,-0.2385,-0.129,-0.1216,-0.1716,-0.1386,
3623,BE,Return on Equity,,-7.3523,0.3075,0.1423,0.2578,8.3854,13.5344,-2.765,-1.6703,-0.6718,
3624,BE,Return on Invested Capital,,-0.5672,1.4534,0.2685,2.5033,-0.368,-0.1808,-0.1777,-0.2501,-0.1791,
3625,BE,Return on Capital Employed,-0.311,-0.4709,-0.2097,-0.1615,-0.1391,-0.3054,-0.0983,-0.0891,-0.1854,-0.0988,
3626,BE,Return on Tangible Assets,,-0.1868,-0.0914,-0.0615,-0.0681,-0.1176,-0.0642,-0.0622,-0.0904,-0.0773,
3627,BE,Income Quality Ratio,1.2918,0.9082,0.841,0.2558,0.2251,-0.5063,0.5511,0.3138,0.6085,1.2098,
3628,BE,Net Income per EBT,1.0026,1.0021,1.0026,1.0024,1.0064,1.002,1.0014,1.0054,1.0035,1.0063,
3629,BE,Free Cash Flow to Operating Cash Flow Ratio,1.0512,1.0202,1.0317,1.0765,1.3067,0.6883,1.3842,1.8209,1.6093,1.2248,
3630,BE,EBT to EBIT Ratio,1.0,1.0,1.4106,1.7084,1.5559,1.4122,1.7876,1.5598,1.2054,1.5643,
3631,BE,EBIT to Revenue,-0.8747,-1.9683,-0.9482,-0.4078,-0.2081,-0.2911,-0.126,-0.1268,-0.2172,-0.1439,
3632,BEAM,Gross Margin,,,,-inf,-inf,-299.3889,-4298.125,0.6829,0.6294,0.947,
3633,BEAM,Operating Margin,,,,-inf,-inf,-4175.2222,-5531.6667,-7.5701,-5.5561,-0.4673,
3634,BEAM,Net Profit Margin,,,,-inf,-inf,-4357.8889,-10684.3333,-6.5844,-4.3268,-0.3509,
3635,BEAM,Interest Coverage Ratio,,,,-inf,-inf,-372.9786,-78.6276,41780.4446,-20.6512,-3.3523,
3636,BEAM,Income Before Tax Profit Margin,,,,-inf,-inf,-4351.4444,-8108.0,-7.1491,-4.2708,-0.3473,
3637,BEAM,Effective Tax Rate,,,,-0.0625,0.6082,-0.0015,-0.3178,0.079,-0.0131,-0.0104,
3638,BEAM,Return on Assets,,,,,-1.3607,-0.4855,-0.8438,-0.3545,-0.1872,-0.0946,
3639,BEAM,Return on Equity,,,,,-1.7753,-0.6677,-1.4801,-0.6367,-0.3379,-0.1546,
3640,BEAM,Return on Invested Capital,,,,,-1.7616,-0.5046,-1.0859,-0.5192,-0.2802,-0.1282,
3641,BEAM,Return on Capital Employed,,,,1.8021,-1.317,-0.6155,-0.5525,-0.2939,-0.219,-0.0674,
3642,BEAM,Return on Tangible Assets,,,,,-1.103,-0.3815,-0.5901,-0.2456,-0.1295,-0.0682,
3643,BEAM,Income Quality Ratio,,,,0.3383,0.1739,0.9193,0.492,0.1788,-0.0779,1.1258,
3644,BEAM,Net Income per EBT,,,,1.0666,0.6188,1.0015,1.3178,0.921,1.0131,1.0104,
3645,BEAM,Free Cash Flow to Operating Cash Flow Ratio,,,,1.1278,1.6466,1.1739,1.1708,1.7064,-1.173,1.2261,
3646,BEAM,EBT to EBIT Ratio,,,,1.0,1.0,1.0024,1.0081,1.0,1.0625,1.5525,
3647,BEAM,EBIT to Revenue,,,,-inf,-inf,-4341.0556,-8042.6667,-7.1493,-4.0197,-0.2237,
3648,BECN,Gross Margin,0.2268,0.2367,0.2455,0.2458,0.2482,0.2444,0.2447,0.2668,0.2652,0.2569,
3649,BECN,Operating Margin,0.0425,0.0465,0.0497,0.0494,0.0319,0.0208,0.0051,0.0686,0.0834,0.0789,
3650,BECN,Net Profit Margin,0.0231,0.0248,0.0218,0.023,0.0154,-0.0015,-0.0117,0.0356,0.0544,0.0477,
3651,BECN,Interest Coverage Ratio,12.7942,13.7667,5.221,6.3044,2.9743,2.684,3.3271,7.6257,10.3059,inf,
3652,BECN,Income Before Tax Profit Margin,0.0381,0.0422,0.0355,0.0373,0.0106,-0.0015,-0.0155,0.0473,0.0735,0.0643,
3653,BECN,Effective Tax Rate,0.3934,0.4127,0.3864,0.3825,-0.4486,0.0158,0.2488,0.2497,0.2603,0.2578,
3654,BECN,Return on Assets,,0.0419,0.0386,0.0307,0.0198,-0.0016,-0.0121,0.0389,0.0794,0.0712,
3655,BECN,Return on Equity,,0.0733,0.0815,0.065,0.0485,-0.0047,-0.0366,0.1112,0.2031,0.2108,
3656,BECN,Return on Invested Capital,,0.0573,0.0505,0.0403,0.03,0.0027,-0.0111,0.0554,0.107,0.0958,
3657,BECN,Return on Capital Employed,0.0901,0.1023,0.0795,0.0809,0.041,0.0298,0.0038,0.0979,0.1525,0.1263,
3658,BECN,Return on Tangible Assets,,0.0282,0.0235,0.0185,0.0112,-0.0009,-0.0067,0.0222,0.0471,0.0411,
3659,BECN,Income Quality Ratio,1.0307,1.7557,1.3418,3.125,5.469,-20.0389,-5.9246,0.686,0.875,1.9651,
3660,BECN,Net Income per EBT,0.6066,0.5873,0.6136,0.6175,1.4486,0.9842,0.7512,0.7512,0.7397,0.7422,
3661,BECN,Free Cash Flow to Operating Cash Flow Ratio,0.329,0.8097,0.7819,0.8736,0.9147,0.7318,0.8988,0.5693,0.7754,0.844,
3662,BECN,EBT to EBIT Ratio,0.8979,0.9057,0.7148,0.7559,0.3327,-0.073,-5.2794,0.791,0.881,1.0,
3663,BECN,EBIT to Revenue,0.0425,0.0465,0.0497,0.0494,0.0319,0.0208,0.0029,0.06,0.0834,0.0643,
3664,BELFB,Gross Margin,0.1806,0.1919,0.1998,0.2075,0.2002,0.2248,0.2571,0.2473,0.2804,0.3374,
3665,BELFB,Operating Margin,0.0289,0.0504,-0.153,0.0332,0.054,-0.0225,-0.0017,0.0159,0.0996,0.1495,
3666,BELFB,Net Profit Margin,0.0187,0.0339,-0.1296,-0.0242,0.0378,-0.0178,0.0275,0.0457,0.0805,0.1154,
3667,BELFB,Interest Coverage Ratio,8.5065,6.8014,-8.2159,5.4478,8.9934,0.9862,3.2933,7.1971,23.6786,38.2242,
3668,BELFB,Income Before Tax Profit Margin,0.0213,0.0454,-0.1651,0.0196,0.0431,-0.0148,0.0261,0.0503,0.0903,0.1302,
3669,BELFB,Effective Tax Rate,0.1247,0.254,0.2146,2.2337,0.1231,-0.1973,-0.0543,0.0917,0.1079,0.1137,
3670,BELFB,Return on Assets,,0.0314,-0.1279,-0.0277,0.0473,-0.0191,0.0277,0.0514,0.0983,0.1304,
3671,BELFB,Return on Equity,,0.0838,-0.3312,-0.0752,0.1238,-0.0508,0.0723,0.1258,0.2237,0.2449,
3672,BELFB,Return on Invested Capital,,0.0511,-0.1711,-0.0297,0.084,-0.0173,0.05,0.0856,0.1555,0.1928,
3673,BELFB,Return on Capital Employed,0.0279,0.0717,-0.2269,0.0478,0.0857,-0.0049,0.0461,0.0772,0.1472,0.1869,
3674,BELFB,Return on Tangible Assets,,0.0177,-0.0721,-0.0154,0.0268,-0.0108,0.0157,0.0298,0.0589,0.0837,
3675,BELFB,Income Quality Ratio,2.4692,3.427,-0.5954,-2.0274,0.4876,-2.7965,3.6036,0.1866,0.764,1.4675,
3676,BELFB,Net Income per EBT,0.8753,0.746,0.7854,-1.2337,0.8769,1.1973,1.0543,0.9083,0.8921,0.8863,
3677,BELFB,Free Cash Flow to Operating Cash Flow Ratio,0.5974,0.8497,0.787,0.7336,-0.1483,0.5955,0.8812,-1.0287,0.7806,0.8881,
3678,BELFB,EBT to EBIT Ratio,0.7232,0.7723,1.0878,0.5864,0.8162,3.9385,0.7189,0.8853,0.9459,0.9669,
3679,BELFB,EBIT to Revenue,0.0295,0.0588,-0.1517,0.0335,0.0528,-0.0038,0.0362,0.0568,0.0954,0.1346,
3680,BFC,Gross Margin,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0021,
3681,BFC,Operating Margin,0.5883,0.6186,0.6479,0.6182,0.6731,0.4416,0.4835,0.5528,0.6092,0.5814,
3682,BFC,Net Profit Margin,0.3138,0.3286,0.3384,0.297,0.3654,0.3438,0.3688,0.4189,0.3821,0.4004,
3683,BFC,Interest Coverage Ratio,5.1491,5.1598,4.9678,4.2847,3.2853,1.8787,3.8261,7.605,6.1094,24.1742,
